#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
2.0%	500	-902507.6237955359	242.50679229665712	0	--
4.0%	1000	-882812.3106706801	276.1400973821315	3.45	20:02
6.0%	1500	-875118.6714033381	291.2154605014324	3.43	19:43
8.0%	2000	-870352.8943162323	295.342405436831	3.42	19:23
10.0%	2500	-868707.1837677563	296.2628046200647	3.41	19:00
12.0%	3000	-865637.5807733283	299.29196803034387	3.4	18:36
14.0%	3500	-865595.9850222135	298.8096411985695	3.41	18:10
16.0%	4000	-865075.4327970779	300.8897887497485	3.41	17:45
18.0%	4500	-864463.589524833	301.7773607405183	3.4	17:20
20.0%	5000	-866634.522754371	300.5491082319161	3.4	16:55
22.0%	5500	-866191.8997676759	300.28329598243585	3.4	16:30
24.0%	6000	-866935.271812987	300.22273783826256	3.4	16:04
26.0%	6500	-866179.3378797562	297.9235447063845	3.4	15:39
28.0%	7000	-864493.1993607047	299.50033619754976	3.39	15:17
30.0%	7500	-865833.6764624079	302.88148681478765	3.39	14:53
32.0%	8000	-867206.529518024	301.46512172154524	3.38	14:27
34.0%	8500	-866905.4363982118	300.489917892782	3.38	14:03
36.0%	9000	-866782.8853353782	299.0507205360311	3.35	13:44
38.0%	9500	-868065.3961236646	298.82256867078775	3.34	13:21
40.0%	10000	-866615.1721522933	299.416532753301	3.32	13:00
42.0%	10500	-866897.4281848693	302.3270572325703	3.31	12:37
44.0%	11000	-867645.6327942184	300.9419304187508	3.3	12:13
46.0%	11500	-866071.5773274963	301.9884673816256	3.29	11:48
48.0%	12000	-866639.1494372505	301.0883211819459	3.28	11:24
50.0%	12500	-865998.764597577	298.56227646459394	3.27	11:01
52.0%	13000	-866353.1671392886	299.43853841820567	3.27	10:34
54.0%	13500	-865875.004130464	302.65725483323916	3.27	10:08
56.0%	14000	-865755.8701804234	301.0130420294334	3.27	9:41
58.0%	14500	-865751.1698544014	300.019127969913	3.27	9:15
60.0%	15000	-865703.1443498379	300.20614282129964	3.27	8:49
62.0%	15500	-866984.2614700609	301.3243412028446	3.26	8:22
64.0%	16000	-868014.9954900207	302.57370964344113	3.26	7:56
66.0%	16500	-867707.3635210115	300.0353356592148	3.26	7:30
68.0%	17000	-866388.1808893494	299.3938110942026	3.26	7:03
70.0%	17500	-866514.872745544	299.1843491630172	3.26	6:37
72.0%	18000	-866198.3262388883	299.97517492586434	3.27	6:10
74.0%	18500	-867573.5883908174	300.75856876683065	3.27	5:43
76.0%	19000	-867712.4472788909	303.10615682237767	3.27	5:17
78.0%	19500	-868211.375263609	302.00556281428317	3.27	4:50
80.0%	20000	-867550.8923564373	300.8464942832028	3.27	4:24
82.0%	20500	-867584.1644119697	301.78333427752295	3.27	3:57
84.0%	21000	-867613.1036355225	301.6399161413254	3.27	3:31
86.0%	21500	-866548.5659418586	298.5436508313266	3.26	3:05
88.0%	22000	-866996.8311424486	300.5003465714906	3.26	2:39
90.0%	22500	-867470.9077416584	298.61192440153036	3.26	2:12
92.0%	23000	-867399.9208057409	299.76374632332863	3.25	1:46
94.0%	23500	-868876.0938024961	298.913350436371	3.25	1:19
96.0%	24000	-867746.7965356554	298.2690668862496	3.25	0:53
98.0%	24500	-869131.2606969622	299.0155981653286	3.25	0:26
100.0%	25000	-867194.4744568084	298.72328249553635	3.25	0:00
